"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 01:11:27 EET 2023","Thu Mar 16 01:11:34 EET 2023","7563","firefox","","singUp radmin test","","","admin Gavatare is visible",""
"passed","Thu Mar 16 01:11:18 EET 2023","Thu Mar 16 01:11:26 EET 2023","8357","chromium","","singUp radmin test","","","admin Gavatare is visible",""
"passed","Thu Mar 16 01:11:36 EET 2023","Thu Mar 16 01:11:42 EET 2023","6274","webkit","","singUp radmin test","","","admin Gavatare is visible",""
